State,data_monthid,category,Million_Vehicle_Miles,area,monthid
oregon,201511,Urban_Arterial_201410,1266,urban,201410
utah,201511,Urban_Arterial_201410,1262,urban,201410
washington,201511,Urban_Arterial_201410,2772,urban,201410
wyoming,201511,Urban_Arterial_201410,160,urban,201410
connecticut,201511,All_Arterial_201410,2835,all,201410
maine,201511,All_Arterial_201410,1221,all,201410
massachusetts,201511,All_Arterial_201410,4974,all,201410
new hampshire,201511,All_Arterial_201410,1144,all,201410
new jersey,201511,All_Arterial_201410,6649,all,201410
new york,201511,All_Arterial_201410,11086,all,201410
pennsylvania,201511,All_Arterial_201410,9026,all,201410
rhode island,201511,All_Arterial_201410,594,all,201410
vermont,201511,All_Arterial_201410,618,all,201410
delaware,201511,All_Arterial_201410,798,all,201410
district of columbia,201511,All_Arterial_201410,317,all,201410
florida,201511,All_Arterial_201410,17305,all,201410
georgia,201511,All_Arterial_201410,9815,all,201410
maryland,201511,All_Arterial_201410,5152,all,201410
north carolina,201511,All_Arterial_201410,9698,all,201410
south carolina,201511,All_Arterial_201410,4271,all,201410
virginia,201511,All_Arterial_201410,7143,all,201410
west virginia,201511,All_Arterial_201410,1775,all,201410
illinois,201511,All_Arterial_201410,9765,all,201410
indiana,201511,All_Arterial_201410,7799,all,201410
iowa,201511,All_Arterial_201410,2984,all,201410
kansas,201511,All_Arterial_201410,2627,all,201410
michigan,201511,All_Arterial_201410,8374,all,201410
minnesota,201511,All_Arterial_201410,5004,all,201410
missouri,201511,All_Arterial_201410,5815,all,201410
nebraska,201511,All_Arterial_201410,1824,all,201410
north dakota,201511,All_Arterial_201410,936,all,201410
ohio,201511,All_Arterial_201410,9856,all,201410
south dakota,201511,All_Arterial_201410,790,all,201410
wisconsin,201511,All_Arterial_201410,5133,all,201410
alabama,201511,All_Arterial_201410,5524,all,201410
arkansas,201511,All_Arterial_201410,2919,all,201410
kentucky,201511,All_Arterial_201410,4243,all,201410
louisiana,201511,All_Arterial_201410,4019,all,201410
mississippi,201511,All_Arterial_201410,3377,all,201410
oklahoma,201511,All_Arterial_201410,4228,all,201410
tennessee,201511,All_Arterial_201410,6076,all,201410
texas,201511,All_Arterial_201410,22237,all,201410
alaska,201511,All_Arterial_201410,433,all,201410
arizona,201511,All_Arterial_201410,5073,all,201410
california,201511,All_Arterial_201410,30101,all,201410
colorado,201511,All_Arterial_201410,4408,all,201410
hawaii,201511,All_Arterial_201410,1203,all,201410
idaho,201511,All_Arterial_201410,1442,all,201410
montana,201511,All_Arterial_201410,1051,all,201410
nevada,201511,All_Arterial_201410,2238,all,201410
new mexico,201511,All_Arterial_201410,2320,all,201410
oregon,201511,All_Arterial_201410,2962,all,201410
utah,201511,All_Arterial_201410,2389,all,201410
washington,201511,All_Arterial_201410,4710,all,201410
wyoming,201511,All_Arterial_201410,876,all,201410
connecticut,201903,Rural_Arterial_201802,105,rural,201802
maine,201903,Rural_Arterial_201802,385,rural,201802
massachusetts,201903,Rural_Arterial_201802,118,rural,201802
new hampshire,201903,Rural_Arterial_201802,219,rural,201802
new jersey,201903,Rural_Arterial_201802,218,rural,201802
new york,201903,Rural_Arterial_201802,904,rural,201802
pennsylvania,201903,Rural_Arterial_201802,1486,rural,201802
rhode island,201903,Rural_Arterial_201802,44,rural,201802
vermont,201903,Rural_Arterial_201802,208,rural,201802
delaware,201903,Rural_Arterial_201802,89,rural,201802
district of columbia,201903,Rural_Arterial_201802,0,rural,201802
